shape,common_id,common_name,Total Turnout (#),Total Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Free Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,New Rights,Labour,Georgian Dream
Precinct,29,81-29,882,55.6116,\N,\N,\N,\N,2.5414,0.5669,46.2585,0.2268,1.3605,0.2268,1.9274,49.4331
Precinct,30,81-30,666,45.1832,\N,\N,\N,\N,3.7572,0.6006,39.7898,0.6006,1.0511,0.3003,1.0511,56.6066
Precinct,31,81-31,655,61.7342,\N,\N,\N,\N,3.1065,0,43.3588,0.3053,0.6107,0,1.2214,54.5038
Precinct,32,81-32,799,68.5249,\N,\N,\N,\N,1.722,0,41.6771,0.2503,1.627,0.2503,1.1264,53.0663
Precinct,33,81-33,383,57.079,\N,\N,\N,\N,14.6993,0.2611,56.1358,0,3.3943,0.2611,1.3055,38.1201
Precinct,34,81-34,494,42.2945,\N,\N,\N,\N,2.3715,0,52.6316,0.2024,1.6194,0.2024,2.2267,43.1174
Precinct,35,81-35,530,56.7452,\N,\N,\N,\N,3.2847,0,34.717,0.3774,2.0755,0.3774,2.0755,60.3774
Precinct,36,81-36,734,59.0032,\N,\N,\N,\N,2.6525,0.2725,47.139,0.1362,3.8147,0.1362,3.1335,45.3678
Precinct,37,81-37,152,71.6981,\N,\N,\N,\N,1.2987,0,53.9474,0,1.9737,0,0.6579,43.4211
Precinct,38,81-38,754,61.9556,\N,\N,\N,\N,2.584,0,25.3316,0,1.061,0,0.7958,72.679
Precinct,39,81-39,350,67.1785,\N,\N,\N,\N,1.4085,0,34.8571,0,2,0,2,60.8571
Precinct,40,81-40,384,67.9646,\N,\N,\N,\N,1.2853,0.5208,25,0,5.2083,0,1.0417,68.2292
Precinct,41,81-41,733,54.9064,\N,\N,\N,\N,4.183,0,53.206,0,2.5921,0,1.2278,42.8377
Precinct,42,81-42,642,50.5512,\N,\N,\N,\N,5.1699,0,32.0872,0,5.7632,0,1.8692,60.2804
Precinct,43,81-43,839,56.0454,\N,\N,\N,\N,2.781,0.2384,38.1406,0.3576,1.1919,0.2384,1.7878,57.6877
Precinct,44,81-44,788,51.1688,\N,\N,\N,\N,2.716,0.1269,43.0203,0.6345,2.7919,0,1.0152,52.1574
Precinct,45,81-45,438,56.7358,\N,\N,\N,\N,4.3668,0,46.347,0,2.5114,1.3699,1.3699,48.4018
Precinct,46,81-46,978,62.4123,\N,\N,\N,\N,0.4073,0,41.3088,0.409,1.1247,0,1.1247,56.0327
Precinct,47,81-47,682,59.7721,\N,\N,\N,\N,1.7291,0.1466,34.4575,0.2933,3.3724,1.0264,0.7331,59.9707
Precinct,48,81-48,688,54.8644,\N,\N,\N,\N,2.1337,0.1453,28.4884,0.1453,2.7616,0.7267,0.8721,66.2791
Precinct,49,81-49,497,59.4498,\N,\N,\N,\N,1.7787,0.2012,29.1751,0,2.0121,1.8109,2.0121,64.5875
Precinct,50,81-50,608,54.9729,\N,\N,\N,\N,2.8754,0,31.9079,0.3289,2.3026,0.4934,0.6579,64.3092
Precinct,51,81-51,443,59.7035,\N,\N,\N,\N,1.1161,0,21.219,0,0.9029,1.3544,1.5801,74.9436
Precinct,52,81-52,457,53.8915,\N,\N,\N,\N,3.9916,0.2188,35.6674,0.6565,1.9694,0.2188,1.0941,59.7374
Precinct,53,81-53,542,55.0813,\N,\N,\N,\N,2.8674,0.369,27.6753,0.1845,0.369,0,2.214,69.1882
Precinct,54,81-54,715,55.4694,\N,\N,\N,\N,2.8533,0.6993,29.7902,0.2797,0.4196,0.1399,1.3986,67.2727
Precinct,55,81-55,392,54.3689,\N,\N,\N,\N,5.5422,0,30.3571,0.5102,1.2755,0.5102,1.2755,66.0714
Precinct,56,81-56,580,59.7322,\N,\N,\N,\N,4.918,0,69.4828,0,4.4828,0,1.3793,24.6552
Precinct,57,81-57,408,55.814,\N,\N,\N,\N,3.7736,0,49.7549,0.2451,1.7157,0,0.2451,48.0392
Precinct,58,81-58,550,55.7244,\N,\N,\N,\N,5.6604,0.9091,54.3636,0,3.8182,0,2.7273,38.1818
Precinct,59,81-59,878,62.5356,\N,\N,\N,\N,2.1182,0.2278,32.9157,0,1.3667,0.1139,1.7084,63.4396
Precinct,60,81-60,535,66.2949,\N,\N,\N,\N,3.0797,0.1869,22.9907,0.1869,2.4299,0.1869,1.4953,72.5234
Precinct,61,81-61,481,42.3043,\N,\N,\N,\N,3.0242,0,51.1435,0,10.395,0,1.0395,37.2141
Precinct,62,81-62,442,60.218,\N,\N,\N,\N,2.4283,0,36.4253,0,0.6787,0.2262,1.1312,61.5385
Precinct,63,81-63,422,53.4854,\N,\N,\N,\N,4.3084,0.237,35.0711,0,2.6066,0.4739,0.9479,60.1896
Precinct,64,81-64,404,54.083,\N,\N,\N,\N,7.1264,0,54.9505,0,4.2079,0,1.2376,39.604
Precinct,65,81-65,112,11.9276,\N,\N,\N,\N,1.7544,0,42.8571,0,0.8929,0,2.6786,52.6786
Precinct,1,82-1,433,63.1195,\N,\N,\N,\N,3.7778,0,54.5035,0,4.388,0.4619,2.3095,38.3372
Precinct,2,82-2,125,54.5852,\N,\N,\N,\N,1.5748,0.8,49.6,0.8,7.2,0,7.2,34.4
Precinct,3,82-3,214,64.2643,\N,\N,\N,\N,2.7273,0,57.9439,0,6.0748,0.4673,0.9346,34.5794
Precinct,4,82-4,263,55.8386,\N,\N,\N,\N,4.7101,0.3802,57.4144,0,4.943,1.1407,5.7034,29.2776
Precinct,5,82-5,279,58.7368,\N,\N,\N,\N,4.7782,0,63.7993,0.3584,6.81,0,2.509,26.5233
Precinct,6,82-6,191,50,\N,\N,\N,\N,3.5354,0,67.0157,0,5.2356,2.0942,1.5707,24.0838
Precinct,7,82-7,102,59.6491,\N,\N,\N,\N,1.9231,0,75.4902,0,5.8824,0,1.9608,16.6667
Precinct,8,82-8,80,66.6667,\N,\N,\N,\N,2.439,0,70,0,10,2.5,1.25,16.25
Precinct,9,82-9,215,62.8655,\N,\N,\N,\N,1.3761,0.4651,55.3488,0.9302,8.3721,1.8605,1.3953,31.6279
Precinct,10,82-10,239,67.1348,\N,\N,\N,\N,3.2389,0,51.046,0,7.9498,0,2.0921,38.9121
Precinct,11,82-11,90,65.2174,\N,\N,\N,\N,9.0909,0,50,1.1111,4.4444,0,0,44.4444
Precinct,12,82-12,162,75.7009,\N,\N,\N,\N,0.6135,0,64.1975,0,6.7901,0.6173,3.0864,25.3086
Precinct,13,82-13,115,70.5521,\N,\N,\N,\N,2.5424,0,64.3478,0,5.2174,0,2.6087,27.8261
Precinct,14,82-14,372,60.4878,\N,\N,\N,\N,1.5873,0.5376,75,0,3.2258,0.8065,1.0753,19.3548
Precinct,15,82-15,390,55.0847,\N,\N,\N,\N,6.25,0,60,0.5128,3.5897,1.5385,1.7949,32.3077
Precinct,16,82-16,400,60.9756,\N,\N,\N,\N,3.1477,0,60.75,0,4,0.75,0.5,34
Precinct,17,82-17,234,61.2565,\N,\N,\N,\N,2.0921,0.4274,74.359,0.4274,4.2735,0.8547,1.7094,17.9487
Precinct,18,82-18,145,72.1393,\N,\N,\N,\N,0,0,62.7586,0,6.8966,4.1379,1.3793,24.8276
Precinct,19,82-19,74,84.0909,\N,\N,\N,\N,3.8961,1.3514,56.7568,0,22.973,0,0,18.9189
Precinct,20,82-20,222,60.4905,\N,\N,\N,\N,1.7699,0,60.8108,2.7027,15.7658,0.4505,0.9009,19.3694
Precinct,21,82-21,178,73.251,\N,\N,\N,\N,0.5587,0,74.1573,0.5618,5.618,1.1236,2.809,15.7303
Precinct,22,82-22,102,76.1194,\N,\N,\N,\N,2.8571,0,74.5098,0,8.8235,1.9608,2.9412,10.7843
Precinct,23,82-23,321,62.9412,\N,\N,\N,\N,3.6036,1.2461,46.1059,0.9346,4.0498,0.3115,1.8692,45.4829
Precinct,24,82-24,145,67.1296,\N,\N,\N,\N,0.6849,0.6897,62.069,0,6.2069,0.6897,2.069,28.2759
Precinct,25,82-25,192,71.3755,\N,\N,\N,\N,4,4.1667,59.375,0.5208,10.9375,0,1.5625,23.4375
Precinct,26,82-26,142,60.6838,\N,\N,\N,\N,3.4014,0.7042,70.4225,0,12.6761,0,0.7042,15.493
Precinct,27,82-27,212,76.259,\N,\N,\N,\N,2.3041,0,76.8868,0.4717,3.7736,0.4717,0.9434,17.4528
Precinct,28,82-28,314,61.5686,\N,\N,\N,\N,4.8485,0.9554,40.7643,1.5924,9.8726,1.5924,0.3185,44.9045
Precinct,29,82-29,186,68.6347,\N,\N,\N,\N,2.6178,0.5376,69.8925,0,6.4516,0,1.0753,22.043
Precinct,30,82-30,157,71.0407,\N,\N,\N,\N,2.4845,0.6369,68.1529,0,9.5541,0,0.6369,21.0191
Precinct,31,82-31,203,63.6364,\N,\N,\N,\N,7.3059,0,69.4581,0.4926,6.8966,0,2.4631,20.6897
Precinct,32,82-32,123,62.1212,\N,\N,\N,\N,2.381,0,69.9187,0,8.1301,0,0,21.9512
Precinct,33,82-33,72,48.9796,\N,\N,\N,\N,6.4935,0,40.2778,0,11.1111,0,4.1667,44.4444
Precinct,34,82-34,161,60.9848,\N,\N,\N,\N,2.4242,0.6211,65.2174,0,8.0745,0,0.6211,24.2236
Precinct,35,82-35,117,60.9375,\N,\N,\N,\N,0.8475,0.8547,59.8291,0.8547,9.4017,3.4188,0,25.641
Precinct,36,82-36,163,50.4644,\N,\N,\N,\N,7.3864,0,60.7362,0,6.135,1.227,1.8405,29.4479
Precinct,37,82-37,165,63.7066,\N,\N,\N,\N,0.6024,0,77.5758,0,1.8182,1.2121,0,19.3939
Precinct,38,82-38,245,57.1096,\N,\N,\N,\N,4.2969,0,62.8571,0,4.0816,0.8163,2.449,29.7959
Precinct,39,82-39,279,60.2592,\N,\N,\N,\N,2.4476,0,58.7814,0.3584,8.9606,0,1.0753,30.8244
Precinct,40,82-40,150,58.1395,\N,\N,\N,\N,2.5974,0.6667,50,0,2.6667,1.3333,2,43.3333
Precinct,41,82-41,253,66.2304,\N,\N,\N,\N,0,0,88.5375,0,0.7905,0,0.3953,10.2767
Precinct,42,82-42,206,56.4384,\N,\N,\N,\N,3.2864,1.4563,66.9903,0.4854,8.7379,1.4563,1.4563,19.4175
Precinct,43,82-43,271,66.7488,\N,\N,\N,\N,1.8116,0.369,40.5904,0.369,8.1181,1.107,2.214,47.2325
Precinct,44,82-44,112,79.4326,\N,\N,\N,\N,0.885,0,52.6786,0,8.9286,0,1.7857,36.6071
Precinct,45,82-45,150,67.2646,\N,\N,\N,\N,6.8323,0.6667,58,0,16,2.6667,0.6667,22
Precinct,46,82-46,165,56.5068,\N,\N,\N,\N,4.0698,0,45.4545,0,3.6364,1.8182,1.2121,47.8788
Precinct,47,82-47,142,71.7172,\N,\N,\N,\N,3.4014,0,72.5352,0,7.0423,0.7042,3.5211,15.493
Precinct,48,82-48,145,65.9091,\N,\N,\N,\N,0.6849,0,57.2414,2.069,6.2069,2.069,0.6897,31.7241
Precinct,49,82-49,68,71.5789,\N,\N,\N,\N,0,0,72.0588,1.4706,14.7059,1.4706,1.4706,8.8235
Precinct,1,83-1,841,58.0801,\N,\N,\N,\N,2.3229,0.2378,23.5434,0.1189,0.7134,0.2378,0.8323,74.1974
Precinct,2,83-2,828,60.8824,\N,\N,\N,\N,1.4286,0,32.0048,0.4831,2.4155,0.2415,1.3285,58.6957
Precinct,3,83-3,872,61.7564,\N,\N,\N,\N,2.8953,0.4587,24.4266,0.4587,1.3761,0.344,1.0321,71.9037
Precinct,4,83-4,458,51.2878,\N,\N,\N,\N,1.0799,0.4367,19.214,0,4.8035,0.4367,0.8734,73.3624
Precinct,5,83-5,870,55.8767,\N,\N,\N,\N,3.118,0.5747,22.9885,0.4598,1.1494,0.8046,0.4598,73.1034
Precinct,6,83-6,479,63.1094,\N,\N,\N,\N,4.3912,0.2088,29.0188,0.6263,2.2965,0.2088,2.2965,65.3445
Precinct,7,83-7,443,61.5278,\N,\N,\N,\N,3.0635,0.2257,30.6998,0.2257,1.1287,0.4515,1.5801,65.6885
Precinct,8,83-8,642,55.3926,\N,\N,\N,\N,2.5797,1.7134,26.947,0.4673,2.3364,0.6231,0.9346,68.3801
Precinct,9,83-9,398,32.8383,\N,\N,\N,\N,2.6895,0,34.6734,0,3.5176,0,0.7538,61.0553
Precinct,10,83-10,599,59.96,\N,\N,\N,\N,1.964,0,26.8781,0.1669,4.3406,0.1669,0.1669,67.4457
Precinct,11,83-11,370,63.1399,\N,\N,\N,\N,1.5957,0,27.2973,0,2.1622,0,0.5405,70
Precinct,12,83-12,750,53.7634,\N,\N,\N,\N,1.3158,0.5333,23.8667,0.1333,1.6,0,0.8,73.3333
Precinct,13,83-13,662,49.0007,\N,\N,\N,\N,10.0543,2.2659,22.2054,0.1511,2.568,0,0.3021,72.5076
Precinct,14,83-14,572,54.5281,\N,\N,\N,\N,2.7211,0.3497,31.2937,0.3497,2.972,0.3497,0.8741,63.8112
Precinct,15,83-15,800,56.0617,\N,\N,\N,\N,1.8405,0,40,0.5,3.125,0.5,3,52.125
Precinct,16,83-16,730,57.1652,\N,\N,\N,\N,2.7963,1.5068,32.6027,0.5479,1.6438,0.6849,0.6849,62.3288
Precinct,17,83-17,873,56.5049,\N,\N,\N,\N,2.567,0.4582,31.9588,0.1145,1.7182,0.1145,0.8018,64.7194
Precinct,18,83-18,912,56.7164,\N,\N,\N,\N,2.5641,0.2193,24.2325,0.2193,2.6316,0.4386,1.2061,71.0526
Precinct,19,83-19,547,47.5239,\N,\N,\N,\N,3.0142,0.1828,28.5192,0,1.0969,0.1828,1.0969,68.7386
Precinct,20,83-20,842,55.8726,\N,\N,\N,\N,3.9909,0.1188,31.7102,0.1188,2.2565,0.3563,1.5439,63.658
Precinct,21,83-21,813,56.069,\N,\N,\N,\N,2.7512,0.246,26.6913,0.738,2.337,0,0.984,69.0037
Precinct,22,83-22,784,59.3939,\N,\N,\N,\N,2.6087,0.1276,25.7653,0,2.8061,1.5306,1.148,68.6224
Precinct,23,83-23,548,64.0187,\N,\N,\N,\N,1.7921,0.1825,21.5328,0,4.3796,0.7299,0.9124,71.7153
Precinct,24,83-24,817,54.6854,\N,\N,\N,\N,2.6222,0.2448,21.9094,0.1224,2.0808,0.3672,0.9792,74.2962
Precinct,25,83-25,366,59.8039,\N,\N,\N,\N,1.8767,0.5464,18.0328,0.2732,1.9126,0.5464,1.9126,76.2295
Precinct,26,83-26,257,47.5926,\N,\N,\N,\N,0.7722,0,28.4047,0,1.9455,1.1673,2.3346,66.1479
Precinct,27,83-27,558,79.9427,\N,\N,\N,\N,1.4134,0.5376,54.4803,0.3584,3.2258,0,0.8961,40.3226
Precinct,28,83-28,698,62.0996,\N,\N,\N,\N,1.4124,0.1433,41.8338,0.7163,5.1576,0.5731,1.5759,50
Precinct,29,83-29,828,66.0814,\N,\N,\N,\N,2.7027,0.1208,37.4396,0.2415,3.5024,0.6039,0.9662,57.0048
Precinct,30,83-30,906,63.5789,\N,\N,\N,\N,0.7667,0.3311,22.7373,0.2208,1.6556,0.9934,1.9868,72.0751
Precinct,31,83-31,710,63.9064,\N,\N,\N,\N,3.0055,0.4225,33.2394,0.1408,1.6901,0.4225,1.831,61.831
Precinct,32,83-32,550,56.2948,\N,\N,\N,\N,2.4823,0.1818,29.2727,0,4.3636,0.1818,1.6364,64.1818
Precinct,33,83-33,993,66.5104,\N,\N,\N,\N,2.4558,0.2014,34.4411,0.4028,3.6254,1.007,2.0141,58.3082
Precinct,34,83-34,538,62.3407,\N,\N,\N,\N,5.1146,0,34.7584,0.7435,6.8773,0,1.3011,56.3197
Precinct,35,83-35,781,53.2742,\N,\N,\N,\N,3.1017,0.128,27.4008,0.2561,4.0973,1.1524,1.9206,64.9168
Precinct,36,83-36,435,63.6896,\N,\N,\N,\N,1.3605,0,42.2989,0.2299,6.8966,0,1.1494,49.4253
Precinct,37,83-37,908,70.7165,\N,\N,\N,\N,0,0,28.4141,0.2203,5.0661,0.3304,0.8811,65.0881
Precinct,38,83-38,365,64.3739,\N,\N,\N,\N,3.9474,0.274,37.5342,0,4.3836,0,1.0959,56.7123
Precinct,39,83-39,327,58.7074,\N,\N,\N,\N,2.9674,0,37.0031,0,7.6453,0.6116,0.9174,53.8226
Precinct,40,83-40,240,74.0741,\N,\N,\N,\N,0,0,43.3333,0,2.5,0,1.6667,51.25
Precinct,41,83-41,318,66.8067,\N,\N,\N,\N,0.9346,0,39.9371,0.9434,2.5157,1.2579,1.8868,53.4591
Precinct,42,83-42,242,78.0645,\N,\N,\N,\N,1.626,0,47.1074,0.4132,1.6529,0,0.4132,50
Precinct,43,83-43,531,67.3004,\N,\N,\N,\N,1.8484,0,55.1789,0,3.7665,1.1299,1.8832,37.6648
Precinct,44,83-44,364,71.3725,\N,\N,\N,\N,1.8868,0.5495,30.7692,1.0989,4.3956,2.4725,1.0989,59.6154
Precinct,1,84-1,542,65.2226,\N,\N,\N,\N,2.518,0.1845,62.9151,0,2.3985,0.738,0.738,33.0258
Precinct,2,84-2,335,61.4679,\N,\N,\N,\N,2.6163,0,73.1343,1.194,0.597,1.4925,1.194,22.3881
Precinct,3,84-3,205,54.3767,\N,\N,\N,\N,2.381,0.4878,51.7073,0.4878,3.9024,0.4878,0.4878,42.439
Precinct,4,84-4,488,54.5861,\N,\N,\N,\N,1.8109,0,45.9016,0.8197,1.6393,3.2787,0.4098,47.9508
Precinct,5,84-5,305,55.7587,\N,\N,\N,\N,0.974,0,74.4262,0.3279,4.5902,0,0.3279,20.3279
Precinct,6,84-6,236,61.4583,\N,\N,\N,\N,2.8807,0.4237,60.1695,0.4237,3.8136,1.6949,1.2712,32.2034
Precinct,7,84-7,343,54.9679,\N,\N,\N,\N,1.7192,0.8746,47.8134,0.5831,10.2041,0.2915,2.0408,38.1924
Precinct,8,84-8,296,64.3478,\N,\N,\N,\N,1.6611,0,65.8784,0.3378,4.3919,1.3514,0.3378,27.7027
Precinct,9,84-9,380,55.7185,\N,\N,\N,\N,2.8133,0.7895,47.3684,0,4.4737,1.5789,3.1579,42.6316
Precinct,10,84-10,298,63.0021,\N,\N,\N,\N,2.6144,0,63.7584,0,4.3624,1.6779,2.0134,28.1879
Precinct,11,84-11,324,49.4656,\N,\N,\N,\N,2.7027,0.3086,52.7778,0.3086,5.8642,0,0.3086,40.4321
Precinct,12,84-12,557,52.8463,\N,\N,\N,\N,2.4518,0.3591,41.8312,0,1.7953,0.5386,2.8725,52.6032
Precinct,13,84-13,259,65.5696,\N,\N,\N,\N,3.7175,0,39.7683,0,3.0888,0,0.3861,56.7568
Precinct,14,84-14,331,61.183,\N,\N,\N,\N,2.6471,0.3021,50.1511,0.3021,1.2085,0.3021,0.3021,47.432
Precinct,15,84-15,192,59.6273,\N,\N,\N,\N,3.5176,0.5208,64.5833,0,2.6042,0.5208,1.5625,30.2083
Precinct,16,84-16,225,60.1604,\N,\N,\N,\N,4.2553,0,80.4444,0,1.7778,0,2.2222,15.5556
Precinct,17,84-17,375,58.0495,\N,\N,\N,\N,2.3438,1.0667,52.5333,0.8,2.6667,1.8667,1.3333,39.7333
Precinct,18,84-18,708,60.1529,\N,\N,\N,\N,3.6735,0.4237,59.0395,0.1412,6.0734,0.4237,1.2712,32.3446
Precinct,19,84-19,466,59.4388,\N,\N,\N,\N,5.2846,2.5751,60.3004,0.4292,4.721,1.5021,2.1459,28.3262
Precinct,20,84-20,173,79.3578,\N,\N,\N,\N,1.7045,0.578,69.9422,0,2.8902,0.578,1.7341,24.2775
Precinct,21,84-21,202,69.6552,\N,\N,\N,\N,0.4926,1.4851,61.8812,0.9901,4.9505,3.4653,1.4851,25.7426
Precinct,22,84-22,159,62.5984,\N,\N,\N,\N,2.454,0.6289,59.7484,0,4.4025,0,0,34.5912
Precinct,23,84-23,368,46.5823,\N,\N,\N,\N,9.3596,1.3587,55.163,0.5435,3.2609,2.4457,2.1739,34.2391
Precinct,24,84-24,344,64.1791,\N,\N,\N,\N,3.9106,1.1628,69.4767,0.2907,2.3256,0,0.2907,26.1628
Precinct,25,84-25,273,63.6364,\N,\N,\N,\N,4.878,2.1978,46.5201,0,3.2967,1.0989,2.1978,44.6886
Precinct,26,84-26,293,63.6957,\N,\N,\N,\N,2.6578,0.6826,58.0205,0.3413,4.4369,0,1.0239,35.4949
Precinct,27,84-27,277,62.3874,\N,\N,\N,\N,1.4235,0.361,53.0686,0.361,3.2491,2.1661,0.361,40.4332
Precinct,28,84-28,181,51.2748,\N,\N,\N,\N,2.1622,0,71.2707,0.5525,3.8674,2.7624,0,21.547
Precinct,29,84-29,165,64.9606,\N,\N,\N,\N,1.1976,0.6061,60.6061,0,6.6667,0,1.2121,30.303
Precinct,30,84-30,135,71.4286,\N,\N,\N,\N,0.7353,0.7407,68.8889,0,4.4444,0,0.7407,25.1852
Precinct,31,84-31,286,55.3191,\N,\N,\N,\N,3.0508,0,61.1888,0.3497,2.4476,2.4476,3.1469,30.4196
Precinct,32,84-32,369,58.6645,\N,\N,\N,\N,3.1496,0.542,47.9675,0.271,5.6911,1.897,0.271,43.3604
Precinct,33,84-33,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Precinct,34,84-34,118,67.8161,\N,\N,\N,\N,4.065,2.5424,62.7119,0.8475,7.6271,2.5424,0.8475,22.8814
Precinct,35,84-35,171,72.4576,\N,\N,\N,\N,0,1.1696,54.9708,0,7.0175,0,2.3392,33.3333
Precinct,36,84-36,258,62.0192,\N,\N,\N,\N,2.6415,0,53.876,0,6.2016,1.1628,0,38.3721
Precinct,37,84-37,247,53.0043,\N,\N,\N,\N,3.8911,0,65.587,0.4049,3.6437,2.834,0.4049,27.1255
Precinct,38,84-38,142,55.9055,\N,\N,\N,\N,2.7397,0.7042,57.7465,1.4085,3.5211,0.7042,1.4085,34.507
Precinct,39,84-39,277,52.5617,\N,\N,\N,\N,1.773,0,58.1227,0,4.3321,0.722,1.444,35.3791
Precinct,40,84-40,305,59.4542,\N,\N,\N,\N,4.3887,0.3279,75.7377,0.3279,1.3115,0.3279,0.6557,21.3115
Precinct,41,84-41,290,51.5098,\N,\N,\N,\N,4.918,0.6897,61.3793,0.3448,3.1034,0.3448,0.3448,33.7931
Precinct,42,84-42,353,55.8544,\N,\N,\N,\N,1.3966,0.5666,55.8074,0,3.6827,3.6827,1.983,34.2776
Precinct,43,84-43,104,58.7571,\N,\N,\N,\N,6.3063,1.9231,56.7308,0,5.7692,5.7692,0,29.8077
Precinct,44,84-44,107,51.6908,\N,\N,\N,\N,6.9565,1.8692,57.0093,0,8.4112,3.7383,0.9346,28.0374
Precinct,45,84-45,186,69.145,\N,\N,\N,\N,3.6269,0.5376,74.7312,0,2.6882,0.5376,2.6882,18.8172
Precinct,46,84-46,179,60.473,\N,\N,\N,\N,3.7634,1.676,75.9777,0.5587,3.352,0,1.1173,17.3184
Precinct,47,84-47,102,76.6917,\N,\N,\N,\N,1.9231,0,75.4902,0,8.8235,0,1.9608,13.7255
Precinct,48,84-48,95,60.5096,\N,\N,\N,\N,2.0619,0,61.0526,0,6.3158,0,2.1053,30.5263
Precinct,49,84-49,269,68.9744,\N,\N,\N,\N,1.8248,0,62.0818,0,6.3197,1.8587,0.7435,28.9963
Precinct,50,84-50,246,72.7811,\N,\N,\N,\N,2.381,0.4065,61.7886,0,3.6585,0,0,33.7398
Precinct,51,84-51,180,67.1642,\N,\N,\N,\N,2.7027,1.6667,43.3333,1.1111,2.7778,0.5556,1.1111,49.4444
Precinct,52,84-52,130,64.0394,\N,\N,\N,\N,1.5152,0,73.8462,0.7692,2.3077,0,0,23.0769
Precinct,53,84-53,177,69.685,\N,\N,\N,\N,2.7473,0,49.1525,0,2.2599,0.565,0,48.0226
Precinct,54,84-54,231,69.1617,\N,\N,\N,\N,2.5316,0.4329,41.5584,0,3.8961,1.2987,0,52.8139
