region,District,district name,Precinct,a,b,c,d,e,f,g,h,I,j,k,Free Georgia,National-Democratic Party,United National Movement,For Fair Georgia,Freedom - the Way,Merab Kostava Society,Labour Council of Georgia,Labour Party of Georgia,Georgian Dream,Ioseb Manjavidze,Zviad Chitishvili,Roman Robakidze,Zurab Mskhvilidze
,9,,1,,,,,,,,,,,,27,,103,0,0,0,0,5,221,20,38,,
,9,,2,,,,,,,,,,,,30,,58,1,0,0,0,11,224,30,24,,
,9,,3,,,,,,,,,,,,44,,55,0,0,1,2,16,221,48,35,,
,9,,4,,,,,,,,,,,,68,,50,0,0,0,2,18,284,44,41,,
,9,,5,,,,,,,,,,,,84,,56,0,0,0,1,6,166,73,36,,
,9,,6,,,,,,,,,,,,44,,54,0,0,0,1,10,208,73,56,,
,9,,7,,,,,,,,,,,,32,,65,0,3,0,1,8,156,22,29,,
,9,,8,,,,,,,,,,,,45,,36,0,0,0,0,6,171,42,47,,
,9,,9,,,,,,,,,,,,68,,56,1,0,2,8,10,132,23,21,,
,9,,10,,,,,,,,,,,,58,,30,0,0,1,2,6,164,35,26,,
,9,,11,,,,,,,,,,,,92,,41,0,2,0,26,19,180,67,40,,
,9,,12,,,,,,,,,,,,111,,41,1,1,0,11,8,131,97,35,,
,9,,13,,,,,,,,,,,,75,,92,0,1,0,0,10,130,48,76,,
,9,,14,,,,,,,,,,,,80,,151,1,1,0,1,7,167,54,54,,
,9,,15,,,,,,,,,,,,94,,100,0,0,1,0,11,159,59,54,,
,9,,16,,,,,,,,,,,,82,,83,0,0,0,1,5,162,51,38,,
,9,,17,,,,,,,,,,,,162,,52,0,0,0,1,11,160,56,47,,
,9,,18,,,,,,,,,,,,135,,84,0,0,0,2,14,207,74,10,,
,9,,19,,,,,,,,,,,,158,,74,0,0,0,1,13,154,76,17,,
,9,,20,,,,,,,,,,,,93,,65,0,1,0,0,24,201,65,25,,
,9,,21,,,,,,,,,,,,106,,112,0,0,1,0,20,176,80,21,,
,9,,22,,,,,,,,,,,,78,,65,0,0,0,1,10,154,93,84,,
,9,,23,,,,,,,,,,,,108,,52,1,1,3,1,6,150,73,108,,
,9,,24,,,,,,,,,,,,104,,81,0,0,2,1,13,138,108,68,,
,9,,25,,,,,,,,,,,,77,,51,0,0,2,1,12,145,41,114,,
,9,,26,,,,,,,,,,,,88,,39,0,1,0,2,14,192,40,65,,
,9,,27,,,,,,,,,,,,127,,75,0,0,2,9,11,173,56,43,,
,9,,28,,,,,,,,,,,,53,,17,0,0,0,0,12,134,21,112,,
,9,,29,,,,,,,,,,,,121,,46,0,0,1,1,14,149,48,49,,
,9,,30,,,,,,,,,,,,57,,51,0,0,0,0,20,119,46,36,,
,9,,31,,,,,,,,,,,,54,,75,0,0,0,0,15,115,50,40,,
,9,,32,,,,,,,,,,,,49,,62,1,0,0,0,22,152,35,55,,
,9,,33,,,,,,,,,,,,62,,53,0,1,1,3,21,226,59,57,,
,9,,34,,,,,,,,,,,,103,,62,1,1,2,3,16,165,60,69,,
,9,,35,,,,,,,,,,,,114,,34,0,0,0,1,18,156,54,32,,
,9,,36,,,,,,,,,,,,84,,29,1,0,0,1,27,161,81,77,,
,9,,37,,,,,,,,,,,,71,,64,0,0,0,2,15,190,75,25,,
,9,,38,,,,,,,,,,,,61,,32,0,0,0,0,13,174,30,24,,
,9,,39,,,,,,,,,,,,61,,33,1,0,0,0,13,184,52,58,,
,9,,40,,,,,,,,,,,,42,,50,0,0,0,0,9,196,26,19,,
,9,,41,,,,,,,,,,,,72,,48,2,0,1,1,9,222,61,7,,
,9,,42,,,,,,,,,,,,54,,104,0,0,0,1,14,216,43,8,,
,9,,43,,,,,,,,,,,,84,,86,0,0,1,2,17,176,52,25,,
,9,,44,,,,,,,,,,,,48,,79,0,0,0,0,11,194,46,40,,
,9,,45,,,,,,,,,,,,80,,77,1,0,0,0,24,234,54,14,,
,9,,46,,,,,,,,,,,,100,,113,1,1,0,1,21,150,50,15,,
,9,,47,,,,,,,,,,,,84,,77,0,0,0,0,15,152,76,16,,
,9,,48,,,,,,,,,,,,89,,56,0,0,0,1,19,200,92,19,,
,9,,49,,,,,,,,,,,,74,,65,0,0,0,0,19,144,61,15,,
,9,,50,,,,,,,,,,,,90,,76,0,0,1,2,11,138,55,33,,
,9,,51,,,,,,,,,,,,102,,111,0,0,0,0,15,220,47,22,,
,9,,52,,,,,,,,,,,,86,,48,0,1,0,0,12,198,63,34,,
,9,,53,,,,,,,,,,,,71,,45,0,1,0,2,11,165,77,14,,
,9,,54,,,,,,,,,,,,55,,66,0,1,1,2,12,163,70,9,,
,9,,55,,,,,,,,,,,,96,,111,0,1,1,3,10,180,65,98,,
,9,,56,,,,,,,,,,,,62,,126,0,1,1,1,7,199,80,15,,
,9,,57,,,,,,,,,,,,111,,73,0,0,1,0,9,102,35,29,,
,9,,58,,,,,,,,,,,,83,,56,0,1,0,2,22,203,85,20,,
,9,,59,,,,,,,,,,,,77,,57,0,1,0,1,13,166,37,12,,
,9,,60,,,,,,,,,,,,97,,56,0,0,0,1,23,153,62,40,,
,9,,61,,,,,,,,,,,,57,,63,0,0,0,2,17,157,34,33,,
,9,,62,,,,,,,,,,,,60,,73,0,1,1,2,11,164,43,14,,
,9,,63,,,,,,,,,,,,63,,62,1,1,0,1,11,170,35,24,,
,9,,64,,,,,,,,,,,,64,,105,0,2,0,0,5,178,19,41,,
,9,,65,,,,,,,,,,,,76,,59,0,0,0,1,13,177,47,52,,
,9,,66,,,,,,,,,,,,108,,43,0,0,3,1,17,162,42,29,,
,9,,67,,,,,,,,,,,,53,,58,0,1,0,3,4,127,46,52,,
,9,,68,,,,,,,,,,,,37,,45,0,0,0,1,9,183,47,62,,
,9,,69,,,,,,,,,,,,55,,70,0,0,3,0,9,105,49,43,,
,9,,70,,,,,,,,,,,,95,,51,1,0,4,0,13,181,49,38,,
,9,,71,,,,,,,,,,,,59,,58,0,0,1,2,16,157,38,94,,
,9,,72,,,,,,,,,,,,90,,40,0,2,0,1,21,202,49,52,,
,9,,73,,,,,,,,,,,,53,,29,0,0,0,0,6,139,46,115,,
,9,,74,,,,,,,,,,,,63,,45,0,0,1,1,18,118,32,63,,
,9,,75,,,,,,,,,,,,77,,67,0,1,2,1,14,107,55,100,,
,9,,76,,,,,,,,,,,,52,,62,0,0,1,0,12,152,61,58,,
,9,,77,,,,,,,,,,,,103,,98,0,0,1,0,5,127,51,69,,
,9,,78,,,,,,,,,,,,48,,77,0,0,0,0,8,115,46,124,,
,9,,79,,,,,,,,,,,,30,,73,1,0,1,0,28,129,103,72,,
,9,,80,,,,,,,,,,,,48,,31,0,0,0,0,10,130,51,55,,
,9,,81,,,,,,,,,,,,44,,68,0,0,0,3,11,132,54,71,,
,9,,82,,,,,,,,,,,,44,,62,1,0,1,0,10,162,43,62,,
,9,,83,,,,,,,,,,,,54,,83,0,0,0,1,15,174,61,31,,
,9,,84,,,,,,,,,,,,62,,53,1,0,1,0,10,131,87,34,,
,9,,85,,,,,,,,,,,,40,,47,0,0,0,0,10,158,63,66,,
,9,,86,,,,,,,,,,,,55,,46,0,0,0,0,11,118,52,159,,
,9,,87,,,,,,,,,,,,61,,46,0,0,0,1,13,123,66,45,,
,9,,88,,,,,,,,,,,,42,,29,0,1,0,1,8,131,65,73,,
,9,,89,,,,,,,,,,,,41,,66,1,1,0,1,9,140,39,80,,
,9,,90,,,,,,,,,,,,35,,57,0,1,0,0,14,192,49,61,,
,9,,91,,,,,,,,,,,,60,,39,1,1,0,2,15,90,53,57,,
,9,,92,,,,,,,,,,,,58,,37,0,0,0,2,11,160,49,77,,
,9,,93,,,,,,,,,,,,33,,72,0,0,0,0,20,212,29,44,,
,9,,94,,,,,,,,,,,,12,,36,0,0,0,0,9,54,0,1,,
,9,,95,,,,,,,,,,,,5,,4,0,0,0,0,1,24,5,12,,
,9,,96,,,,,,,,,,,,3,,3,0,0,0,0,1,23,5,19,,
,9,,97,,,,,,,,,,,,3,,5,0,0,0,0,2,25,10,11,,
,9,,98,,,,,,,,,,,,6,,3,0,0,0,0,1,22,4,7,,
,9,,99,,,,,,,,,,,,6,,2,0,0,0,0,2,14,5,7,,
,52,,1,,,,,,,,,,,,,5,74,1,1,,0,,384,,,37,54
,52,,2,,,,,,,,,,,,,0,112,1,0,,0,,202,,,198,25
,52,,3,,,,,,,,,,,,,0,100,2,0,,3,,305,,,61,35
,52,,4,,,,,,,,,,,,,0,100,0,1,,1,,281,,,23,55
,52,,5,,,,,,,,,,,,,0,236,2,0,,1,,207,,,22,20
,52,,6,,,,,,,,,,,,,3,122,1,0,,0,,236,,,8,24
,52,,7,,,,,,,,,,,,,0,47,1,0,,1,,117,,,24,62
,52,,8,,,,,,,,,,,,,0,99,0,0,,0,,324,,,18,31
,52,,9,,,,,,,,,,,,,0,116,1,0,,0,,332,,,21,35
,52,,10,,,,,,,,,,,,,0,57,0,0,,0,,105,,,3,14
,52,,11,,,,,,,,,,,,,0,101,2,0,,1,,396,,,18,38
,52,,12,,,,,,,,,,,,,1,58,5,0,,2,,394,,,20,193
,52,,13,,,,,,,,,,,,,2,41,2,0,,0,,612,,,9,30
,52,,14,,,,,,,,,,,,,0,86,2,1,,2,,316,,,11,39
,52,,15,,,,,,,,,,,,,1,141,3,0,,0,,356,,,3,38
,52,,16,,,,,,,,,,,,,1,183,4,0,,0,,252,,,24,34
,52,,17,,,,,,,,,,,,,0,105,1,0,,1,,110,,,42,10
,52,,18,,,,,,,,,,,,,0,51,0,0,,1,,75,,,27,23
,52,,19,,,,,,,,,,,,,0,105,0,0,,0,,89,,,3,8
,52,,20,,,,,,,,,,,,,0,31,1,0,,0,,105,,,20,18
,52,,21,,,,,,,,,,,,,0,45,1,0,,0,,124,,,7,15
,52,,22,,,,,,,,,,,,,0,23,2,0,,1,,197,,,15,42
,52,,23,,,,,,,,,,,,,0,62,2,1,,0,,262,,,69,29
,52,,24,,,,,,,,,,,,,1,19,4,0,,0,,272,,,10,83
,52,,25,,,,,,,,,,,,,0,113,0,0,,0,,176,,,25,63
,52,,26,,,,,,,,,,,,,0,50,0,1,,0,,308,,,17,34
,52,,27,,,,,,,,,,,,,0,74,1,0,,0,,246,,,2,25
,52,,28,,,,,,,,,,,,,0,32,0,0,,0,,192,,,14,27
,54,,1,,,,,,,,,,,,,,56,0,0,,1,,467,,,,
,54,,2,,,,,,,,,,,,,,90,1,0,,1,,296,,,,
,54,,3,,,,,,,,,,,,,,55,0,0,,0,,346,,,,
,54,,4,,,,,,,,,,,,,,74,0,0,,1,,421,,,,
,54,,5,,,,,,,,,,,,,,98,1,1,,0,,424,,,,
,54,,6,,,,,,,,,,,,,,73,0,1,,0,,440,,,,
,54,,7,,,,,,,,,,,,,,97,0,0,,1,,527,,,,
,54,,8,,,,,,,,,,,,,,111,2,0,,0,,374,,,,
,54,,9,,,,,,,,,,,,,,183,1,0,,0,,357,,,,
,54,,10,,,,,,,,,,,,,,125,0,2,,0,,489,,,,
,54,,11,,,,,,,,,,,,,,68,2,0,,2,,408,,,,
,54,,12,,,,,,,,,,,,,,59,1,0,,0,,334,,,,
,54,,13,,,,,,,,,,,,,,62,1,0,,1,,394,,,,
,54,,14,,,,,,,,,,,,,,61,0,1,,0,,373,,,,
,54,,15,,,,,,,,,,,,,,61,0,1,,1,,274,,,,
,54,,16,,,,,,,,,,,,,,116,0,1,,0,,299,,,,
,54,,17,,,,,,,,,,,,,,65,0,0,,0,,242,,,,
,54,,18,,,,,,,,,,,,,,76,0,1,,1,,415,,,,
,54,,19,,,,,,,,,,,,,,50,0,0,,0,,231,,,,
,54,,20,,,,,,,,,,,,,,89,0,0,,1,,254,,,,
,54,,21,,,,,,,,,,,,,,95,0,0,,0,,323,,,,
,54,,22,,,,,,,,,,,,,,59,2,0,,0,,558,,,,
,54,,23,,,,,,,,,,,,,,121,0,1,,0,,364,,,,
,54,,24,,,,,,,,,,,,,,78,0,0,,0,,268,,,,
,54,,25,,,,,,,,,,,,,,66,2,0,,2,,501,,,,
,54,,26,,,,,,,,,,,,,,93,2,0,,1,,450,,,,
,54,,27,,,,,,,,,,,,,,116,2,2,,1,,435,,,,
,54,,28,,,,,,,,,,,,,,144,3,0,,1,,542,,,,
,54,,29,,,,,,,,,,,,,,49,3,0,,1,,425,,,,
,54,,30,,,,,,,,,,,,,,69,1,1,,0,,277,,,,
,54,,31,,,,,,,,,,,,,,80,0,0,,1,,177,,,,
,54,,32,,,,,,,,,,,,,,30,0,0,,0,,98,,,,
,54,,33,,,,,,,,,,,,,,40,0,0,,0,,144,,,,
,54,,34,,,,,,,,,,,,,,167,1,0,,1,,383,,,,
,54,,35,,,,,,,,,,,,,,139,0,0,,0,,396,,,,
,54,,36,,,,,,,,,,,,,,44,1,0,,0,,269,,,,
,54,,37,,,,,,,,,,,,,,39,0,0,,0,,191,,,,
,54,,38,,,,,,,,,,,,,,20,0,0,,0,,115,,,,
,54,,39,,,,,,,,,,,,,,67,1,1,,0,,437,,,,
,54,,40,,,,,,,,,,,,,,58,2,0,,2,,341,,,,
,54,,41,,,,,,,,,,,,,,107,0,1,,1,,410,,,,
,54,,42,,,,,,,,,,,,,,157,1,2,,1,,336,,,,
,54,,43,,,,,,,,,,,,,,68,0,1,,0,,326,,,,
,54,,44,,,,,,,,,,,,,,92,0,0,,2,,315,,,,
,54,,45,,,,,,,,,,,,,,33,0,0,,0,,267,,,,
,54,,46,,,,,,,,,,,,,,79,1,0,,1,,371,,,,
,54,,47,,,,,,,,,,,,,,34,1,1,,0,,206,,,,
,54,,48,,,,,,,,,,,,,,76,0,0,,0,,400,,,,
,54,,49,,,,,,,,,,,,,,17,0,1,,0,,216,,,,
,54,,50,,,,,,,,,,,,,,57,1,0,,1,,257,,,,
