region,district_id,district name,precinct_id,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,3 - Democratic Movement - Free Georgia,5 - United National Movement,8 - Alliance of Patriots,41 - Georgian Dream,42 - Initiative Group
,29,,1,,1269,4,224,569,709,1200,6,703,,,,,,,363,,,340,
,29,,2,,452,3,69,207,259,450,4,254,,,,,,,55,,,199,
,29,,3,,593,0,98,276,331,550,2,329,,,,,,,98,,,231,
,29,,4,,302,8,67,143,155,300,3,152,,,,,,,64,,,88,
,29,,5,,576,4,89,235,288,500,1,287,,,,,,,90,,,197,
,29,,6,,931,2,143,366,468,850,3,465,,,,,,,103,,,362,
,29,,7,,648,0,102,263,288,600,1,287,,,,,,,62,,,225,
,29,,8,,223,5,34,98,109,250,0,109,,,,,,,10,,,99,
,29,,9,,129,7,54,87,94,150,2,92,,,,,,,14,,,78,
,29,,10,,190,8,43,95,116,200,0,116,,,,,,,17,,,99,
,35,,1,,1066,8,101,243,304,1000,5,298,,,,,,,,,,168,130
,35,,2,,1275,6,153,325,428,1200,15,413,,,,,,,,,,312,101
,35,,3,,1272,5,177,368,460,1200,7,454,,,,,,,,,,327,127
,35,,4,,1391,9,151,329,410,1300,24,386,,,,,,,,,,256,130
,35,,5,,1091,9,132,276,355,1000,9,346,,,,,,,,,,202,144
,35,,6,,1337,7,124,340,454,1250,12,442,,,,,,,,,,264,178
,35,,7,,1050,8,147,353,420,950,20,400,,,,,,,,,,292,108
,35,,8,,809,12,61,180,244,750,6,238,,,,,,,,,,147,91
,35,,9,,1067,7,137,297,364,1000,8,356,,,,,,,,,,253,103
,35,,10,,1051,9,112,262,331,950,7,324,,,,,,,,,,184,140
,35,,11,,1278,6,128,335,453,1200,16,437,,,,,,,,,,287,150
,35,,12,,1008,8,81,192,244,900,4,240,,,,,,,,,,120,120
,35,,13,,1372,5,104,228,388,1300,5,383,,,,,,,,,,259,124
,35,,14,,966,6,118,247,331,850,3,328,,,,,,,,,,163,165
,35,,15,,696,3,111,258,317,650,4,313,,,,,,,,,,209,104
,35,,16,,1224,10,103,258,337,1150,11,326,,,,,,,,,,195,131
,35,,17,,1183,9,126,301,367,1150,6,361,,,,,,,,,,195,166
,35,,18,,1275,7,121,345,394,1200,4,390,,,,,,,,,,238,152
,35,,19,,1223,7,113,221,270,1150,7,263,,,,,,,,,,144,119
,35,,20,,1069,8,117,315,377,1000,3,374,,,,,,,,,,225,149
,35,,21,,923,7,104,295,355,850,5,350,,,,,,,,,,225,125
,35,,22,,469,4,90,188,219,500,4,215,,,,,,,,,,131,84
,35,,23,,973,1,130,288,393,950,5,388,,,,,,,,,,183,205
,35,,24,,280,4,65,103,130,300,2,128,,,,,,,,,,80,48
,35,,25,,717,3,54,157,217,700,2,215,,,,,,,,,,132,83
,35,,26,,1141,0,119,345,509,1050,2,507,,,,,,,,,,310,197
,35,,27,,442,3,61,138,168,450,4,164,,,,,,,,,,100,64
,35,,28,,1131,5,132,284,402,1050,7,394,,,,,,,,,,218,176
,35,,29,,784,7,106,238,318,750,4,314,,,,,,,,,,233,81
,35,,30,,793,1,80,281,348,750,2,346,,,,,,,,,,216,130
,35,,31,,472,6,43,128,162,500,5,157,,,,,,,,,,90,67
,35,,32,,1281,1,151,375,432,1200,9,423,,,,,,,,,,264,159
,35,,33,,1169,6,124,336,394,1100,7,387,,,,,,,,,,238,149
,35,,34,,999,6,151,370,432,950,9,423,,,,,,,,,,275,148
,35,,35,,812,3,110,253,306,750,1,305,,,,,,,,,,154,151
,35,,36,,979,5,134,304,395,900,6,389,,,,,,,,,,234,155
,35,,37,,651,1,114,275,335,600,2,333,,,,,,,,,,207,126
,35,,38,,388,5,71,142,178,400,2,176,,,,,,,,,,64,112
,35,,39,,456,2,109,171,215,450,4,211,,,,,,,,,,150,61
,35,,40,,59,10,14,33,41,100,0,41,,,,,,,,,,20,21
,35,,41,,121,9,43,81,89,153,0,89,,,,,,,,,,54,35
,35,,42,,1400,9,103,239,346,1300,10,336,,,,,,,,,,220,116
,35,,43,,1364,8,135,335,404,1300,5,399,,,,,,,,,,203,196
,35,,44,,896,9,100,205,260,800,4,255,,,,,,,,,,146,109
,35,,45,,1191,7,102,312,398,1100,7,391,,,,,,,,,,250,141
,35,,46,,1022,7,106,261,354,950,9,345,,,,,,,,,,220,125
,35,,47,,1078,8,123,290,353,1000,14,339,,,,,,,,,,238,101
,35,,48,,965,16,169,330,436,900,6,430,,,,,,,,,,340,90
,35,,49,,942,9,98,270,382,850,13,369,,,,,,,,,,163,206
,35,,50,,1096,10,94,210,273,1050,7,266,,,,,,,,,,119,147
,35,,51,,608,8,99,176,214,550,1,213,,,,,,,,,,123,90
,35,,52,,658,8,122,239,310,600,3,307,,,,,,,,,,184,123
,36,,1,,1145,5,162,416,486,1050,8,478,,,,,,,,,214,264,
,36,,2,,1084,5,177,409,489,1000,5,484,,,,,,,,,248,236,
,36,,3,,1276,4,271,612,719,1200,14,705,,,,,,,,,346,359,
,36,,4,,774,9,115,357,420,700,2,418,,,,,,,,,166,252,
,36,,5,,900,9,242,441,488,800,12,476,,,,,,,,,231,245,
,36,,6,,729,9,140,312,382,700,6,376,,,,,,,,,205,171,
,36,,7,,850,9,187,386,432,750,7,425,,,,,,,,,181,244,
,36,,8,,904,3,189,358,415,850,9,406,,,,,,,,,221,185,
,36,,9,,1153,5,254,546,610,1050,11,598,,,,,,,,,285,313,
,36,,10,,801,8,128,313,364,750,7,357,,,,,,,,,156,201,
,36,,11,,912,5,137,340,425,850,13,412,,,,,,,,,167,245,
,36,,12,,291,5,73,141,181,300,5,176,,,,,,,,,61,115,
,36,,13,,1459,1,278,708,834,1350,14,820,,,,,,,,,445,375,
,36,,14,,331,1,52,170,214,300,3,211,,,,,,,,,46,165,
,36,,15,,1287,0,291,635,787,1200,7,780,,,,,,,,,316,464,
,36,,16,,658,1,127,334,401,600,7,394,,,,,,,,,122,272,
,36,,17,,527,1,58,256,294,450,6,288,,,,,,,,,116,172,
,36,,18,,1533,1,296,782,970,1450,12,958,,,,,,,,,410,548,
,36,,19,,901,0,219,477,546,850,8,538,,,,,,,,,290,248,
,36,,20,,1396,3,232,650,807,1300,22,785,,,,,,,,,308,477,
,36,,21,,564,1,122,290,317,550,5,312,,,,,,,,,119,193,
,36,,22,,714,2,177,381,429,650,6,423,,,,,,,,,193,230,
,36,,23,,710,3,104,243,273,600,2,271,,,,,,,,,96,175,
,36,,24,,185,3,35,92,99,150,2,97,,,,,,,,,27,70,
,36,,25,,861,11,117,360,394,800,13,381,,,,,,,,,171,210,
,36,,26,,1105,9,215,470,533,1000,12,521,,,,,,,,,256,265,
,36,,27,,875,6,139,424,507,800,6,501,,,,,,,,,223,278,
,36,,28,,748,9,102,277,323,700,6,317,,,,,,,,,152,165,
,36,,29,,913,7,105,325,417,850,4,413,,,,,,,,,189,224,
,36,,30,,943,6,148,381,479,850,9,470,,,,,,,,,216,254,
,60,,1,,1377,6,294,681,782,1300,25,757,,,,,,,,,,386,371
,60,,2,,1225,4,239,546,628,1150,12,616,,,,,,,,,,322,294
,60,,3,,1114,8,230,580,660,1050,8,651,,,,,,,,,,379,272
,60,,4,,1285,6,299,707,795,1200,23,772,,,,,,,,,,399,373
,60,,5,,1038,4,203,524,585,950,10,575,,,,,,,,,,240,335
,60,,6,,1207,6,279,673,794,1100,21,773,,,,,,,,,,402,371
,60,,7,,1377,9,251,651,763,1250,21,742,,,,,,,,,,385,357
,60,,8,,1359,4,280,714,821,1250,23,798,,,,,,,,,,463,335
,60,,9,,1146,4,192,504,592,1050,10,582,,,,,,,,,,310,272
,60,,10,,744,1,127,369,438,700,5,433,,,,,,,,,,199,234
,60,,11,,1433,3,265,500,625,1350,5,620,,,,,,,,,,304,316
,60,,12,,1255,24,233,471,604,1200,12,589,,,,,,,,,,229,360
,60,,13,,893,5,248,434,499,850,5,473,,,,,,,,,,193,280
,60,,14,,719,1,168,377,438,650,4,433,,,,,,,,,,281,152
,60,,15,,344,5,112,176,214,350,1,213,,,,,,,,,,147,66
,60,,16,,863,6,160,382,483,800,29,454,,,,,,,,,,193,261
,60,,17,,809,0,175,355,446,750,6,440,,,,,,,,,,258,182
,60,,18,,228,3,63,120,130,250,2,128,,,,,,,,,,84,44
,60,,19,,947,0,211,434,517,900,8,509,,,,,,,,,,243,266
,60,,20,,846,6,235,440,526,800,13,513,,,,,,,,,,205,308
,60,,21,,850,1,191,426,504,800,9,495,,,,,,,,,,287,208
,60,,22,,516,3,153,296,328,500,6,322,,,,,,,,,,157,165
,60,,23,,1515,0,350,752,888,1450,18,870,,,,,,,,,,431,439
,60,,24,,1194,1,236,577,708,1150,12,695,,,,,,,,,,368,327
,60,,25,,1116,3,245,580,689,1050,16,673,,,,,,,,,,223,450
,60,,26,,867,3,165,410,487,800,13,474,,,,,,,,,,185,289
,60,,27,,778,4,167,403,454,700,8,446,,,,,,,,,,208,238
,60,,28,,322,7,122,210,229,350,1,228,,,,,,,,,,133,95
,60,,29,,744,1,176,359,444,700,6,438,,,,,,,,,,220,218
,60,,30,,1231,1,277,632,750,1200,13,737,,,,,,,,,,577,160
,60,,31,,1135,4,217,537,679,1050,15,664,,,,,,,,,,344,320
,60,,32,,990,4,207,497,602,950,14,588,,,,,,,,,,317,271
,60,,33,,1524,2,366,745,880,1450,10,868,,,,,,,,,,304,564
,60,,34,,1216,2,274,611,764,1150,18,746,,,,,,,,,,363,383
,60,,35,,1369,3,252,571,715,1300,22,693,,,,,,,,,,314,379
,60,,36,,762,4,141,313,387,700,7,380,,,,,,,,,,188,192
,60,,37,,731,4,205,342,414,700,3,411,,,,,,,,,,178,233
,60,,38,,675,1,140,389,458,650,6,452,,,,,,,,,,237,215
,60,,39,,891,0,180,418,513,850,5,508,,,,,,,,,,278,230
,60,,40,,1230,5,230,511,608,1150,13,595,,,,,,,,,,271,324
,60,,41,,980,6,206,460,567,950,14,553,,,,,,,,,,270,283
,60,,42,,1201,5,239,540,652,1150,13,638,,,,,,,,,,302,336
,60,,43,,1431,3,227,604,750,1350,21,729,,,,,,,,,,348,381
,60,,44,,827,0,208,396,497,750,11,486,,,,,,,,,,288,198
,60,,45,,1499,0,337,712,850,1450,25,825,,,,,,,,,,429,396
,60,,46,,424,5,122,240,290,450,8,282,,,,,,,,,,158,124
,60,,47,,626,7,146,330,382,600,8,374,,,,,,,,,,191,183
,60,,48,,1409,4,206,409,532,1350,8,524,,,,,,,,,,227,297
,60,,49,,1523,4,305,582,714,1450,5,709,,,,,,,,,,332,377
,60,,50,,702,2,191,399,460,650,20,440,,,,,,,,,,225,215
,60,,51,,824,6,180,398,465,750,5,460,,,,,,,,,,190,270
,60,,52,,1456,1,349,742,891,1400,17,874,,,,,,,,,,374,500
,60,,53,,838,0,230,476,555,800,9,546,,,,,,,,,,324,222
,60,,54,,1002,0,217,464,600,950,8,592,,,,,,,,,,357,235
,60,,55,,1097,5,252,536,617,1000,17,600,,,,,,,,,,263,337
,60,,56,,1107,9,265,545,625,1050,9,616,,,,,,,,,,309,307
,60,,57,,805,5,229,437,488,750,8,480,,,,,,,,,,282,198
,60,,58,,1044,4,252,500,610,1000,12,598,,,,,,,,,,309,289
,60,,59,,1223,3,264,551,712,1150,34,674,,,,,,,,,,280,394
,60,,60,,725,8,183,343,404,650,14,390,,,,,,,,,,200,190
,60,,61,,981,7,214,460,526,900,8,518,,,,,,,,,,240,278
,60,,62,,685,4,117,234,273,650,2,271,,,,,,,,,,124,147
,65,,1,,1119,5,123,346,473,1050,2,471,,,,,,,,2,,469,
,65,,2,,1183,5,108,315,386,1100,9,377,,,,,,,,19,,358,
,65,,3,,464,4,66,135,172,450,5,167,,,,,,,,4,,163,
,65,,4,,1020,2,106,286,355,950,8,347,,,,,,,,29,,318,
,65,,5,,466,2,78,167,195,500,13,182,,,,,,,,19,,163,
,65,,6,,495,6,61,169,202,500,5,197,,,,,,,,18,,179,
,65,,7,,729,1,131,389,442,700,10,429,,,,,,,,20,,409,
,65,,8,,572,4,69,190,227,550,5,222,,,,,,,,17,,205,
,65,,9,,1052,5,150,310,383,1000,14,369,,,,,,,,43,,326,
,65,,10,,850,2,110,310,340,800,4,335,,,,,,,,8,,327,
,65,,11,,748,0,71,212,285,700,4,281,,,,,,,,27,,254,
,65,,12,,745,3,69,245,283,700,8,275,,,,,,,,16,,259,
,65,,13,,1308,3,127,300,372,1250,7,365,,,,,,,,21,,344,
,65,,14,,793,2,62,202,229,750,11,218,,,,,,,,25,,193,
,65,,15,,571,2,90,272,321,500,6,315,,,,,,,,4,,311,
,65,,16,,381,2,45,138,197,400,1,196,,,,,,,,20,,176,
,65,,17,,797,1,82,253,319,750,7,312,,,,,,,,32,,280,
,65,,18,,913,3,80,207,268,850,1,267,,,,,,,,24,,243,
,65,,19,,892,2,81,268,318,850,6,312,,,,,,,,32,,280,
,65,,20,,510,3,82,162,192,500,8,184,,,,,,,,13,,171,
,65,,21,,1236,1,119,310,416,1150,10,406,,,,,,,,38,,368,
,65,,22,,599,1,160,273,308,550,5,303,,,,,,,,27,,276,
,65,,23,,493,1,56,195,250,500,5,242,,,,,,,,8,,234,
,65,,24,,287,2,50,122,145,300,3,142,,,,,,,,10,,132,
,65,,25,,1016,0,93,281,380,950,6,374,,,,,,,,17,,357,
,65,,26,,1087,0,79,240,310,1050,6,304,,,,,,,,28,,276,
,65,,27,,957,3,97,379,471,900,4,467,,,,,,,,13,,454,
,65,,28,,766,1,130,262,367,700,3,364,,,,,,,,8,,356,
,65,,29,,761,2,100,212,290,700,3,287,,,,,,,,9,,278,
,65,,30,,1155,0,129,334,428,1100,11,417,,,,,,,,36,,381,
,65,,31,,754,0,38,238,302,700,7,295,,,,,,,,24,,271,
,65,,32,,1306,6,136,380,422,1200,13,409,,,,,,,,54,,355,
,65,,33,,1250,5,133,374,472,1200,11,461,,,,,,,,47,,414,
,65,,34,,1025,1,141,417,533,950,16,517,,,,,,,,20,,497,
,65,,35,,1376,1,119,328,467,1300,7,460,,,,,,,,33,,427,
,65,,36,,1320,2,147,419,536,1250,9,527,,,,,,,,44,,483,
,65,,37,,597,6,77,168,205,550,15,190,,,,,,,,19,,171,
,65,,38,,672,4,60,154,205,650,8,197,,,,,,,,25,,172,
,65,,39,,382,2,62,121,163,400,7,156,,,,,,,,6,,150,
